,,,OPP-115 Category,"First Party
Collection/Use","Third Party
Sharing/Collection","User Choice/
Control","User Access,
Edit and Deletion",Data Retention,Data Security,Policy Change,Do Not Track,"International and
Specific Audiences",Other
Article Location in GDPR: Chapter Number,Article Number,Article Title,,,,,,,,,,,
1,1,Subject-matter and objectives,,,,,,,,,,,
1,2,Material scope,,,,,,,,,,,
1,3,Territorial scope,,,,,,,,,,,
1,4,Definitions,,1,1,1,,,1,,,,
2,5,Principles relating to processing of personal data,,1,,,,1,1,,,,
2,6,Lawfulness of processing,,1,1,1,,,1,,,,
2,7,Conditions for consent,,1,,1,,,,,,,
2,8,Conditions applicable to child's consent in relation to information society services,,1,,1,,,,,,1,
2,9,Processing of special categories of personal data,,1,1,1,,,,,,,
2,10,Processing of personal data relating to criminal convictions and offences,,1,,,,,,,,,
2,11,Processing which does not require identification,,1,,,1,,,,,,
3,12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",,,,,1,,1,,,,
3,13,Information to be provided where personal data are collected from the data subject,,,,1,1,,,,,,
3,14,Information to be provided where personal data have not been obtained from the data subject,,,,1,1,,,,,,
3,15,Right of access by the data subject,,,,,1,,,,,,
3,16,Right to rectification,,,,,1,,,,,,
3,17,Right to erasure (‘right to be forgotten’),,,,1,1,,,,,,
3,18,Right to restriction of processing,,,,1,1,,,,,,
3,19,Notification obligation regarding rectification or erasure of personal data or restriction of processing,,,1,,1,,,,,,
3,20,Right to data portability,,,,1,1,,,,,,
3,21,Right to object,,,,1,1,,,,,,
3,22,"Automated individual decision-making, including profiling",,,,,1,,,,,,
3,23,Restrictions,,,,,,,,,,,
4,24,Responsibility of the controller,,1,,,,,1,,,,
4,25,Data protection by design and by default,,1,,,1,1,1,,,,
4,26,Joint controllers,,,,1,,,,,,,
4,27,Representatives of controllers or processors not established in the Union,,,,,,,,,,,
4,28,Processor,,,1,,,,1,,,,
4,29,Processing under the authority of the controller or processor,,,1,,,,,,,,
4,30,Records of processing activities,,1,1,,,1,1,,,,
