OPP-115 Category,GDPR Articles,GDPR Principles
First Party Collection/Use,"4, 5, 6, 7, 8, 9, 10, 11, 24, 25, 30, 33, 34, 35, 36, 37, 38, 39, 89, 91, 95","1(a), 1(b), 1(c)"
Third Party Sharing/Collection,"4, 6, 9, 19, 28, 29, 30, 37, 38, 39, 44, 45, 46, 47, 48, 49, 96","1(a), 1(b), 1(c)"
User Choice/Control,"4, 6, 7, 8, 9, 13, 14, 17, 18, 20, 21, 26, 49, 77, 78, 79, 80, 82",1(a)
"User Access, Edit and Deletion","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25","1(a), 1(d)"
Data Retention,"5, 25, 30",1(e)
Data Security,"4, 5, 6, 12, 24, 25, 28, 30, 32, 33, 34, 35, 36, 45, 89",1(f)
Policy Change,None,1(a)
Do Not Track,None,None
International and Specific Audiences,8,1(a)
Other,None,None
